,AreaEntry,AreaExit,BedEntry,BedExit,Down,FallBed,FallFloor,LayingBed,LayingFloor,Nobody,Sit,SittingBed,SittingBedrail,Stand,StandFloor,StandingFloor,WakeUp,Walk
AreaEntry,22,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
AreaExit,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BedEntry,0,0,39,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
BedExit,0,0,0,33,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Down,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0
FallBed,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0
FallFloor,0,0,7,0,0,0,24,0,0,0,4,0,0,0,0,0,0,0
LayingBed,0,0,0,0,0,3,0,63,0,0,0,0,0,0,0,0,0,0
LayingFloor,0,0,0,1,1,6,0,1,13,0,0,2,3,4,8,1,2,0
Nobody,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0
Sit,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0
SittingBed,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0
SittingBedrail,0,0,0,0,0,0,0,0,0,0,7,10,289,0,0,6,0,0
Stand,0,0,0,2,0,0,0,0,0,0,0,0,1,66,0,0,0,2
StandFloor,0,0,3,8,0,0,0,0,0,0,0,1,13,8,28,0,0,0
StandingFloor,0,0,0,0,0,0,0,0,0,4,0,0,7,7,0,234,0,0
WakeUp,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,42,0
Walk,0,0,0,0,0,0,0,0,0,1,27,0,0,3,0,0,0,15
